id,word,definition,length,releaseDate
5082,çırpıntılı,ufak ve oynak dalgalı (deniz),10,2024-07-14
5083,öfke,"engelleme, incinme veya gözdağı karşısında gösterilen saldırganlık tepkisi, kızgınlık, hışım, hiddet, gazap",4,2024-07-15
5084,alıç,"hünnapgillerden, kırlarda kendiliğinden yetişen, hekimlikte ve boyacılıkta kullanılan, sert odunlu bir ağaç, gövem eriği, geyik dikeni, akdiken (crataegus monogyna)",4,2024-07-15
5085,göbel,yaramaz çocuk,5,2024-07-15
5086,mezar,"ölünün gömülü olduğu yer, gömüt, kabir, sin(i), makber, metfen",5,2024-07-15
5087,defter,"genellikle hafif bir kapak içerisinde, yazı yazmak için bir araya tutturulmuş kâğıt yaprakları",6,2024-07-15
5088,uzatış,uzatma işi,6,2024-07-15
5089,leblebi,dış kabuğu çıkarıldıktan sonra fırında kavrulup çerez olarak yenen nohut,7,2024-07-15
5090,harçsız,harcı olmayan,7,2024-07-15
5091,mücadele,"herhangi bir amaca erişmek, bir kuvvete karşı koyabilmek için bir kişi veya topluluğun güçlü, sürekli çabası, savaşım",8,2024-07-15
5092,sığırcık,"serçegillerden, siyah renkli, uzun gagalı, serçeden iri, ötücü bir kuş, çoğurcuk, çekirge kuşu (sturnus vulgaris)",8,2024-07-15
5093,visamiral,amirallikten bir önceki rütbede olan deniz subayı,9,2024-07-15
5094,kırtasiye,"defter, kâğıt, kalem, mürekkep vb. yazı araç ve gereçlerinin bütünü",9,2024-07-15
5095,propaganda,"bir öğreti, düşünce veya inancı başkalarına tanıtmak, benimsetmek ve yaymak amacıyla söz, yazı vb. yollarla gerçekleştirilen çalışma, yaymaca",10,2024-07-15
5096,kalabilmek,kalma ihtimali bulunmak,10,2024-07-15
5097,eşey,cinsiyet,4,2024-07-16
5098,köşk,"bahçe içinde yapılmış süslü ev, kasır",4,2024-07-16
5099,üstün,"benzerlerine göre daha yüksek bir düzeyde olan, onları geride bırakan",5,2024-07-16
5100,bucak,"kenar, köşe, yer",5,2024-07-16
5101,kesici,kesme işinde kullanılan araç,6,2024-07-16
5102,tırkaz,"kapı mandalı, sürgü",6,2024-07-16
5103,oğulsuz,oğlu olmadan,7,2024-07-16
5104,sığıntı,"bulunduğu yerde kalması istenmeyen, varlığı gereksiz görülen kimse",7,2024-07-16
5105,mukadder,"yazgıda var olan, yazgı ile ilgili olan, alında yazılı olan",8,2024-07-16
5106,asabiyet,sinirlilik,8,2024-07-16
5107,hebenneka,zeki ve becerikli olmadığı hâlde kendini öyle sanan kimse,9,2024-07-16
5108,tezahürat,hastalıklarda belirtiler,9,2024-07-16
5109,fırınlamak,fırında pişirmek,10,2024-07-16
5110,gündüzleri,her gün,10,2024-07-16
5111,gaip,görünmez âlem,4,2024-07-17
5112,sofa,"evlerde oda kapılarının açıldığı genişçe yer, hol",4,2024-07-17
5113,karst,"kayaçların erimesiyle yer altı akıntıları olan, kireç taşı ve dolomit bölgesi",5,2024-07-17
5114,hizip,"bölük, kısım",5,2024-07-17
5115,abluka,kuşatma,6,2024-07-17
5116,langur,"maymunlardan, hindistan'da yaşayan, kül rengi veya kırmızıya çalan sarı tüylü, büyük bir maymun (presbytis entellus)",6,2024-07-17
5117,ısıtıcı,"bir nesnenin, genellikle bir akışkanın sıcaklığını, kullanmadan önce arttırmaya yarayan alet",7,2024-07-17
5118,firavun,eski mısır hükümdarlarına verilen unvan,7,2024-07-17
5119,harcayış,harcama işi,8,2024-07-17
5120,billursu,"diyalize uğrayarak çözümlenen madde, koloit karşıtı",8,2024-07-17
5121,otokritik,öz eleştiri,9,2024-07-17
5122,düzeltmen,düzeltici,9,2024-07-17
5123,teyellemek,"i̇ki parçayı eğreti olarak seyrek dikişle elde dikmek, ilintilemek, ilgilemek",10,2024-07-17
5124,demografik,nüfus bilimsel,10,2024-07-17
5125,cari,akan,4,2024-07-18
5126,aday,"bir görev, bir iş için kendini ileri süren veya başkaları tarafından ileri sürülen kimse",4,2024-07-18
5127,ilave,"arttırma, büyütme, abartma",5,2024-07-18
5128,çevri,girdap,5,2024-07-18
5129,içkili,i̇çki içmiş olan,6,2024-07-18
5130,nasfet,hakkaniyet,6,2024-07-18
5131,mareşal,en yüksek askerî rütbe,7,2024-07-18
5132,ezberci,dersini veya herhangi bir konuyu anlamadan kelime kelime belleğinde tutan kimse,7,2024-07-18
5133,piyanist,piyano çalan kimse,8,2024-07-18
5134,bütünsel,"bütün niteliğinde olan, bütünle ilgili, total",8,2024-07-18
5135,çekememek,kıskanmak,9,2024-07-18
5136,pazartesi,pazar ile salı arasındaki gün,9,2024-07-18
5137,ekzotermik,isıveren,10,2024-07-18
5138,hüsnüniyet,i̇yi niyet,10,2024-07-18
5139,azap,"büyük sıkıntı, eziyet, ezinç",4,2024-07-19
5140,haza,tam anlamıyla,4,2024-07-19
5141,rakım,yükselti,5,2024-07-19
5142,buhar,isı etkisiyle sıvıların ve bazı katıların dönüştükleri gaz durumu,5,2024-07-19
5143,meftun,"tutkun, gönül vermiş, vurgun",6,2024-07-19
5144,tüplük,laboratuvarlarda cam tüpleri koymaya yarayan tahta veya metal tabla,6,2024-07-19
5145,pısırık,"tutuk, sünepe, aşırı çekingen, yüreksiz ve beceriksiz, ezik, girgin karşıtı",7,2024-07-19
5146,kırklık,i̇çinde kırk tane bulunan,7,2024-07-19
5147,köhnemek,eskimek,8,2024-07-19
5148,yılancık,"streptokok denilen mikropların bir sıyrığa veya yaraya bulaşarak yaptıkları hastalık, kızılyörük",8,2024-07-19
5149,hıncahınç,"ağzına kadar, tıka basa",9,2024-07-19
5150,makarnacı,i̇talyan,9,2024-07-19
5151,misafirlik,"konuk için, konuğa özgü",10,2024-07-19
5152,biyoenerji,biyokütlenin kimyasal dönüşümüyle elde edilen enerji,10,2024-07-19
5153,fiil,"i̇ş, davranış",4,2024-07-20
5154,örüm,sürünün gece veya sabaha karşı otlaması,4,2024-07-20
5155,kesat,"yokluk, kıtlık",5,2024-07-20
5156,dobra,"i̇yi, güzel",5,2024-07-20
5157,vaftiz,hristiyanlıkta doğduktan kısa bir süre sonra çocuğa ilk günahını silmek ve onu hristiyanlaştırmak amacıyla yapılan kutsal işlem,6,2024-07-20
5158,eliyle,aracılığıyla,6,2024-07-20
5159,rapsodi,genellikle halk türkülerinden ve millî ezgilerden oluşturulmuş müzik eseri,7,2024-07-20
5160,sakınım,"herhangi bir tehlikeye karşı alınan önlem, ihtiyat, tedbir",7,2024-07-20
5161,elastiki,esnek,8,2024-07-20
5162,istihsal,elde etme,8,2024-07-20
5163,hekimbaşı,"osmanlı devleti'nde sarayda hekimlik görevini yürüten en kıdemli, yetkili ve padişahın özel doktoru olan kimse",9,2024-07-20
5164,serüvenli,maceralı,9,2024-07-20
5165,ölçebilmek,ölçme ihtimali veya imkânı bulunmak,10,2024-07-20
5166,psikanaliz,ruhsal çözümleme,10,2024-07-20
5167,özet,"bir yazı veya sözün anlamını daha kısa ve özlü biçimde veren yazı veya söz, hülasa, fezleke, ekspoze",4,2024-07-21
5168,hele,`sonunda` anlamıyla geciken davranışları bildirmek için kullanılan bir söz,4,2024-07-21
5169,bozuş,bozma işi,5,2024-07-21
5170,tıkım,ağzın alabileceği büyüklükte lokma,5,2024-07-21
5171,yağmak,üst üste ve çok gelmek,6,2024-07-21
5172,katman,"birbiri üzerinde bulunan yassıca maddelerin her biri, tabaka",6,2024-07-21
5173,sızıntı,sızan şey,7,2024-07-21
5174,mülayim,"uygun, hoş görülebilir",7,2024-07-21
5175,etimolog,köken bilimci,8,2024-07-21
5176,menetmek,yasaklamak,8,2024-07-21
5177,methetmek,övmek,9,2024-07-21
5178,germanyum,"atom numarası 32, atom ağırlığı 72,6, yoğunluğu 5,46 olan, 937,4 °c'de eriyen, kalay ve silisyumu andıran, az rastlanan bir element (simgesi ge)",9,2024-07-21
5179,yorumlamak,"bir müzik parçasını, bir tiyatro oyununu kendine özgü bir duyarlılık ve teknikle çalmak, söylemek veya oynamak, icra etmek",10,2024-07-21
5180,karbüratör,patlamalı motorlarda akaryakıtı buharlaştırıp hava ile karışmasını sağlayan cihaz,10,2024-07-21
5181,sevk,"gönderme, götürme",4,2024-07-22
5182,akış,akma işi,4,2024-07-22
5183,pesek,"diş kiri, diş pası",5,2024-07-22
5184,ferda,yarın,5,2024-07-22
5185,yapmak,dışkı çıkarmak,6,2024-07-22
5186,armudi,armut biçiminde olan,6,2024-07-22
5187,katliam,kırım,7,2024-07-22
5188,jogging,343 doğa yürüyüşü,7,2024-07-22
5189,deterjan,"petrol türevlerinden elde edilen, temizleme özelliği bulunan, toz, sıvı veya krem durumunda olabilen kimyasal madde, arıtıcı",8,2024-07-22
5190,lenfosit,"kanda, kemik iliğinde, lenfte bulunan, tek ve çok iri çekirdekli, küçük, renksiz bir kan hücresi",8,2024-07-22
5191,akreditif,güven yazısı,9,2024-07-22
5192,morfoloji,yapı bilgisi,9,2024-07-22
5193,enjeksiyon,"vücutta damar, doku, kanal veya boşluk içine enjektör aracılığıyla sıvı veya ilaç verme, zerk etme",10,2024-07-22
5194,ikonografi,i̇konların tanıtılması ve açıklanması,10,2024-07-22
5195,ahır,"evcil büyükbaş hayvanların barındığı kapalı yer, hayvan damı",4,2024-07-23
5196,süje,konu,4,2024-07-23
5197,kozan,adana iline bağlı ilçelerden biri,5,2024-07-23
5198,nehir,irmak,5,2024-07-23
5199,baypas,köprüleme,6,2024-07-23
5200,kanara,"kesimevi, mezbaha",6,2024-07-23
5201,kıranta,"kırlaşmış (saç, sakal)",7,2024-07-23
5202,kaynata,"kocaya veya kadına göre birbirlerinin babası, kayınbaba, kayınpeder, babalık",7,2024-07-23
5203,kazasker,i̇lmiye sınıfının yüksek derecesinde bulunan devlet görevlisi,8,2024-07-23
5204,pazarcık,kahramanmaraş iline bağlı ilçelerden biri,8,2024-07-23
5205,hasretlik,"sevilen bir şey veya kimseden ayrı kalma durumu, ayrılık",9,2024-07-23
5206,sosyalist,toplumcu,9,2024-07-23
5207,fotomorfoz,canlı varlıkların birey oluş sırasındaki gelişimi üzerinde ışığın yaptığı etki,10,2024-07-23
5208,mayınlamak,bir yere mayın dökmek veya döşemek,10,2024-07-23
5209,koni,çembersel bölge üzerindeki her noktanın çember düzlemi dışındaki bir nokta ile birleşiminden oluşan geometrik cisim,4,2024-07-24
5210,edik,kısa çizme,4,2024-07-24
5211,masaj,"ovma, ovuşturma",5,2024-07-24
5212,rakik,"merhametli, yufka yürekli",5,2024-07-24
5213,gırgır,mekanik olarak çalışan süpürge,6,2024-07-24
5214,porsuk,"sansargillerden, su kıyılarında kazdıkları deliklerde yaşayan, ot ve etle beslenen, pis kokulu, memeli bir hayvan (meles)",6,2024-07-24
5215,intikal,geçişim,7,2024-07-24
5216,kahkaha,yüksek sesle gülme,7,2024-07-24
5217,karayaka,"doğu karadeniz kıyı bölgesinde yetişen, uzun kuyruklu, beyaz renkli bir tür koyun",8,2024-07-24
5218,rubidyum,"atom numarası 37, atom ağırlığı 85,48, yoğunluğu 1,53 olan, 39 °c'de eriyen, çabuk oksitlenen, tütün, pancar vb. bitkilerde, maden sularında bulunan, potasyuma benzer kimyasal element (simgesi rb)",8,2024-07-24
5219,patlayıcı,patlama özelliği olan (madde),9,2024-07-24
5220,şerbetlik,şerbet yapmaya yarayan veya şerbet yapmak için ayrılmış olan,9,2024-07-24
5221,hafızlamak,"çok çalışmak, ezberlemek, ineklemek",10,2024-07-24
5222,utandırmak,"utanmasına yol açmak, utanacak bir duruma düşürmek, mahcup etmek",10,2024-07-24
5223,süre,"bir olayın başı ile sonu arasında geçen zaman parçası, zaman aralığı, zaman bölümü, müddet",4,2024-07-25
5224,gonk,"keçe veya bez kaplı bir tokmakla vurularak uzun süreli ses veren, tepsi biçiminde, madenî bir çalgı",4,2024-07-25
5225,selim,"sonu iyi, tehlikesiz, kötücül olmayan, iyicil (ur veya hastalık)",5,2024-07-25
5226,çeker,bir tartma aletinin kaldırabildiği ağırlık miktarı,5,2024-07-25
5227,vecize,özdeyiş,6,2024-07-25
5228,haranı,büyük tencere,6,2024-07-25
5229,prostat,"erkeklerde idrar torbasının altında bulunan, siyeğin başlangıç bölümünü çevreleyen ve meni yapımında görev alan, iç salgı da salgılayan bez, kestanecik",7,2024-07-25
5230,madımak,"i̇lkbaharda kırlarda yetişen, ufak yeşil yapraklı, ıspanak gibi pişirilip yenilen bir bitki",7,2024-07-25
5231,behresiz,"payı, nasibi, hissesi olmayan, bibehre",8,2024-07-25
5232,numaracı,"yalan dolanla iş gören (kimse), düzenbaz, hileci",8,2024-07-25
5233,betimleme,"tasarlama, bir şeyi sözle veya yazıyla anlatma, göz önünde canlandırma, tasvir",9,2024-07-25
5234,eşitçilik,"i̇nsanların özellikle hukuk, siyaset ve ekonomi bakımlarından eşitliğini isteyen öğretilerin genel adı, müsavatçılık",9,2024-07-25
5235,tafsilatlı,ayrıntılı,10,2024-07-25
5236,detaysızca,ayrıntısızca,10,2024-07-25
5237,sena,övme,4,2024-07-26
5238,roba,bir giyeceğin göğüsle omuz arasında kalan bölümüne eklenen parça,4,2024-07-26
5239,esnaf,küçük sermaye ve zanaat sahibi; artizan,5,2024-07-26
5240,tirşe,yeşil ile mavi arası renk,5,2024-07-26
5241,mağaza,büyük dükkân,6,2024-07-26
5242,kalker,kireç taşı,6,2024-07-26
5243,hisseli,"i̇çinde birkaç kişinin payı olan, paydaşlı, paylı",7,2024-07-26
5244,itinalı,özenli,7,2024-07-26
5245,başatlık,baskınlık,8,2024-07-26
5246,haremlik,"karılık, eşlik",8,2024-07-26
5247,vantrilok,karnından konuşan,9,2024-07-26
5248,kurdurmak,kurma işini yaptırmak,9,2024-07-26
5249,duyumsamak,duyular aracılığıyla bir şeyi algılamak,10,2024-07-26
5250,üniversite,"bilimsel özerkliğe ve kamu tüzel kişiliğine sahip, yüksek düzeyde eğitim, öğretim, bilimsel araştırma ve yayın yapan fakülte, enstitü, yüksekokul vb. kuruluş ve birimlerden oluşan öğretim kurumu, darülfünun",10,2024-07-26
5251,anot,artı uç,4,2024-07-27
5252,ekip,takım,4,2024-07-27
5253,eşhas,bir olayda veya edebî bir eserde yer alan kişiler,5,2024-07-27
5254,ihmal,"gereken ilgiyi göstermeme, boşlama, savsaklama, savsama, önem vermeme",5,2024-07-27
5255,sarmak,"taşıt tırmanmak, yükseğe doğru çıkmak",6,2024-07-27
5256,levent,osmanlı donanmasında ve kıyılarında görev yapan asker sınıfı,6,2024-07-27
5257,ötekisi,"ötede bulunan, diğeri, başkası",7,2024-07-27
5258,iradeli,i̇stençli,7,2024-07-27
5259,porsiyon,herhangi bir yemekten bir kimseye verilen belirli miktar,8,2024-07-27
5260,tenezzül,"kendi durumundan daha aşağıdaki bir işi, bir durumu kabul etme",8,2024-07-27
5261,yıpratmak,"yıpranmış duruma getirmek, eskitmek",9,2024-07-27
5262,kurulamak,bir şeyin üzerindeki ıslaklığı gidermek,9,2024-07-27
5263,modelcilik,model yapma sanatı,10,2024-07-27
5264,sağlığında,"yaşamaktayken, yaşarken",10,2024-07-27
5265,main,eşkenar dörtgen,4,2024-07-28
5266,sara,"zaman zaman kendini kaybederek olduğu yere düşme, vücutta şiddetli çırpınmalar ve ağız köpürmesi ile ortaya çıkan bir sinir hastalığı, tutarık, tutarak, tutarga, yilbik, epilepsi",4,2024-07-28
5267,krema,bir tür yumurtalı süt tatlısı,5,2024-07-28
5268,beşer,"i̇nsanoğlu, insan",5,2024-07-28
5269,entari,genellikle tek parçalı kadın giyeceği,6,2024-07-28
5270,gündem,yaşanan günlük olaylar,6,2024-07-28
5271,oflamak,"`of` diyerek sıkıntı, bezginlik, usanç, acı veya yorgunluk duyduğunu belli etmek",7,2024-07-28
5272,kerevit,"kabuklular sınıfından, çamurlu tatlı sularda yaşayan bir eklem bacaklı, tatlısu ıstakozu, karavide (potamobius fluviatilis)",7,2024-07-28
5273,muharrem,"ay takviminin birinci ayı, aşure ayı, matem ayı",8,2024-07-28
5274,fakslama,belgegeçerleme işi,8,2024-07-28
5275,önerilmek,önerme işine konu olmak,9,2024-07-28
5276,güngörmez,güneş ışığı almayan (yer),9,2024-07-28
5277,ödettirmek,ödetme işini yaptırmak,10,2024-07-28
5278,iktidarsız,"gücü, yeteneği olmayan, beceriksiz, yetersiz",10,2024-07-28
5279,beta,yunan alfabesinin ikinci harfi,4,2024-07-29
5280,saha,takım oyunlarında karşılaşmaların yapıldığı yer,4,2024-07-29
5281,güzün,"güz mevsiminde, sonbaharda",5,2024-07-29
5282,şümul,kaplam,5,2024-07-29
5283,kudret,yetenek,6,2024-07-29
5284,uyanış,"avrupa'da özellikle i̇talya'da xv. yüzyılda başlayan genel sosyoloji ve felsefe öğretileri bütünü, rönesans",6,2024-07-29
5285,nedamet,pişmanlık,7,2024-07-29
5286,sirayet,"hastalık başkalarına geçme, bulaşma",7,2024-07-29
5287,yataklık,yatak yapmaya uygun,8,2024-07-29
5288,defineci,gömü bulmak umuduyla kazı yapan veya yaptıran kimse,8,2024-07-29
5289,kavrulmak,dış etkenler yüzünden özelliklerini yitirmek,9,2024-07-29
5290,postnişin,"postta oturan, tekkenin şeyhi olan kimse",9,2024-07-29
5291,kapılanmak,bir işe girmek ve o işte devam etmek,10,2024-07-29
5292,bunalımsız,"gerginlik, sıkıntı vermeyen, gerginliği olmayan",10,2024-07-29
5293,kast,"ayrıcalıklar bakımından yukarıdan aşağıya doğru kesin ölçülerle sınırlanmış bulunan, en koyu biçimiyle hindistan'da görülen toplumsal sınıfların her biri",4,2024-07-30
5294,üvez,"gülgillerden, orta boylu bir ağaç (pirus sorbus)",4,2024-07-30
5295,tacir,"ticaretle uğraşan kimse, tüccar",5,2024-07-30
5296,araba,bu taşıtın aldığı miktarda olan,5,2024-07-30
5297,bildik,tanıdık (kimse veya şey),6,2024-07-30
5298,haslet,"i̇nsanın yaradılışından gelen özellik, huy",6,2024-07-30
5299,dağıtık,"kendinden geçmiş, sarhoş",7,2024-07-30
5300,beyyine,bir olayın doğruluğunu ortaya koyabilen yöntem,7,2024-07-30
5301,münevver,aydın,8,2024-07-30
5302,kozmonot,uzay adamı,8,2024-07-30
5303,sildirmek,silme işini yaptırmak,9,2024-07-30
5304,abdestsiz,"abdest almadan, abdest almaksızın",9,2024-07-30
5305,mutazarrır,"zarar görmüş, zarara uğramış",10,2024-07-30
5306,entipüften,değeri olmayan,10,2024-07-30
5307,konç,ayağa giyilen şeylerde ayak bileğinden baldıra doğru olan bölüm,4,2024-07-31
5308,sera,"sebze ve meyvelerin yetiştirildiği ve hava şartlarına karşı korunduğu cam ve naylonla kaplı yer, limonluk, ser (ii)",4,2024-07-31
5309,soluk,tarz,5,2024-07-31
5310,sokur,köstebek,5,2024-07-31
5311,epizot,bir romandaki veya hikâyedeki olay,6,2024-07-31
5312,kebere,gebre otu,6,2024-07-31
5313,duradur,çok uzak,7,2024-07-31
5314,bilakis,"tersine olarak, tam tersine, tersine, aksine",7,2024-07-31
5315,aleyhtar,"karşı olan, karşıtçı",8,2024-07-31
5316,kameriye,"bahçelerde yazın oturulmak için yapılan, kafes biçiminde, kubbeli, üstü yeşilliklerle sarılan süslü çardak",8,2024-07-31
5317,dikleşmek,dik duruma gelmek,9,2024-07-31
5318,geçicilik,muvakkatlik,9,2024-07-31
5319,kurgulamak,"parçaları belli bir plana göre düzenlemek, konuları sıraya sokmak",10,2024-07-31
5320,hematoloji,kan bilimi,10,2024-07-31
5321,böle,teyze kızı,4,2024-08-01
5322,hurç,genellikle yelken bezinden veya meşinden yapılmış büyük heybe,4,2024-08-01
5323,ilzam,"cevap veremez duruma getirme, susturma",5,2024-08-01
5324,kavak,"söğütgillerden, sulak bölgelerde yetişen, boyu bazı türlerinde 30-40 metreye değin çıkan, kerestesinden yararlanılan uzun boylu bir ağaç (populus)",5,2024-08-01
5325,hisset,cimrilik,6,2024-08-01
5326,katmak,"bir şeyin içine, üstüne veya yanına, niteliğini değiştirmek veya niceliğini artırmak için başka bir şey eklemek, karıştırmak",6,2024-08-01
5327,fabrika,"i̇şlenmemiş veya yarı işlenmiş maddelerin makine, araç vb. ile işlenerek tüketime hazır duruma getirildiği sanayi kuruluşu, üretimevi",7,2024-08-01
5328,dışında,"-den başka, sayılmazsa",7,2024-08-01
5329,gelişmek,şişmanlamak,8,2024-08-01
5330,bağlamak,geçişi engellemek,8,2024-08-01
5331,yaramamak,"gereksiz olmak, boşuna yapılmış olmak",9,2024-08-01
5332,asimetrik,bakışımsız,9,2024-08-01
5333,deneycilik,"bilginin gözlem, deneme veya duyular ile elde edilebileceğini ileri süren geleneksel öğreti, görgücülük, ampirizm, akılcılık karşıtı",10,2024-08-01
5334,elektrosaz,elektrikten yararlanılarak sesi yükseltilen saz,10,2024-08-01
5335,piko,kimi örtülerin veya çamaşırların kenarına makineyle yapılan bir süs türü,4,2024-08-02
5336,reel,gerçek,4,2024-08-02
5337,eşarp,başörtüsü,5,2024-08-02
5338,çorlu,"hastalıklı, dertli",5,2024-08-02
5339,bıçkın,"korkusuz, gözü pek, yürekli, cesur",6,2024-08-02
5340,faraza,"diyelim ki, sayalım ki, tutalım ki, varsayalım ki",6,2024-08-02
5341,sefahat,"zevk ve eğlenceye düşkünlük, uçarılık",7,2024-08-02
5342,kuluçka,"civciv çıkarmak amacıyla yumurtaya yatmış veya yatmak üzere olan dişi kuş veya kümes hayvanı, gurk",7,2024-08-02
5343,kardelen,"nergisgillerden, baharda çok erken çiçek açan ve eczacılıkta kullanılan soğanlı bir bitki (galanthus nivalis)",8,2024-08-02
5344,parlayış,parlama işi,8,2024-08-02
5345,pervaneci,"selçuklu divanında bulunan, arazi defterlerine bakan görevli",9,2024-08-02
5346,konvektör,isıyayar,9,2024-08-02
5347,cerahatsiz,i̇rinsiz,10,2024-08-02
5348,müştereken,ortaklaşa,10,2024-08-02
5349,urla,i̇zmir iline bağlı ilçelerden biri,4,2024-08-03
5350,fare,"sıçangillerden, küçük vücutlu, kemirgen, memeli hayvan (mus)",4,2024-08-03
5351,ölgün,"cansız, renksiz, dikkat çekmeyen",5,2024-08-03
5352,korte,"âşıktaşlık, flört",5,2024-08-03
5353,dalıcı,dalma özelliği olan,6,2024-08-03
5354,oğullu,oğlu olan,6,2024-08-03
5355,avurtlu,"çalım satan, yüksekten atan",7,2024-08-03
5356,zağanos,bir cins doğan,7,2024-08-03
5357,takışmak,"anlaşmazlığa düşmek, kavgaya tutuşmak, ağız kavgası yapmak",8,2024-08-03
5358,müdevver,yuvarlak,8,2024-08-03
5359,angaryacı,başkasına ücretsiz iş yaptıran kimse,9,2024-08-03
5360,mahrumluk,yoksunluk,9,2024-08-03
5361,tesettürlü,kapalı kıyafetler giyinen (kadın),10,2024-08-03
5362,ilahiyatçı,tanrı bilimci,10,2024-08-03
5363,unsu,"un gibi olan, unu andıran",4,2024-08-04
5364,sana,sen zamirinin yönelme durumu eki almış biçimi,4,2024-08-04
5365,penis,erkeklik organı,5,2024-08-04
5366,hışır,olmamış meyve,5,2024-08-04
5367,fıldır,"çabuk, hızlı, telaşlı",6,2024-08-04
5368,panama,özel olarak dokunmuş bir kumaş türü,6,2024-08-04
5369,işlemek,"i̇yi çalışmak, müşterisi bol olmak",7,2024-08-04
5370,monogam,tek eşli,7,2024-08-04
5371,zararsız,"zarar vermeyen, zararı dokunmayan, dokuncasız, ziyansız",8,2024-08-04
5372,konkasör,"yol, bina vb. yapımında kullanılacak çakıl veya taşları elde etmek için, büyük kayaları kırıp ufalamaya yarayan makine, kırma makinesi",8,2024-08-04
5373,hiyerarşi,aşama sırası,9,2024-08-04
5374,vasıtalık,aracılık,9,2024-08-04
5375,dokunulmaz,hiçbir biçimde eleştirilemez,10,2024-08-04
5376,gayriciddi,ciddi olmayan,10,2024-08-04
5377,dişi,yumurta oluşturan veya yavru doğuran (birey),4,2024-08-05
5378,tren,"demir yolunda yolcu ve yük taşımakta kullanılan, bir veya birkaç lokomotif tarafından çekilen vagonlar dizisi, katar, şimendifer",4,2024-08-05
5379,hassa,özellik,5,2024-08-05
5380,sıfır,"yeni, kullanılmamış",5,2024-08-05
5381,hassas,duyum ve duyguları algılayan,6,2024-08-05
5382,çetele,"ekmekçi, sütçü vb. esnafın, uzunlamasına ikiye bölüp üzerine kertikler çenterek hesap tuttukları ağaç dalı",6,2024-08-05
5383,başköşe,"bir yerde en saygın kişinin veya büyüklerin oturması için ayrılan yer, tör",7,2024-08-05
5384,manikür,elin ve özellikle el tırnaklarının bakımı,7,2024-08-05
5385,hırdavat,"önemsiz, ufak tefek eşya, gereksiz eşya",8,2024-08-05
5386,kalıpsız,"biçimsiz, düzgün olmayan",8,2024-08-05
5387,itimatsız,güven vermeyen,9,2024-08-05
5388,oditoryum,antik roma'da halkın ozanları dinlemek üzere toplandığı yer,9,2024-08-05
5389,mikrosefal,yetersiz gelişme sonunda beyni ve kafatası küçük olan (kimse),10,2024-08-05
5390,tabiiyetli,"herhangi bir ülkenin uyruğunda olan, uyruklu",10,2024-08-05
5391,ağrı,türkiye'nin doğu anadolu bölgesi'nde yer alan illerinden biri,4,2024-08-06
5392,miza,kumarda ortaya sürülen para,4,2024-08-06
5393,guano,"özellikle deniz kuşlarının pisliklerinin bir yerde uzun süreden beri birikip yığılmasıyla oluşan, azot ve fosfat bakımından zengin, gübre olarak kullanılan madde",5,2024-08-06
5394,tuğla,balçığın kalıplara dökülüp güneşte kurutulduktan sonra özel ocaklarda pişirilmesiyle yapılan ve duvar örmekte kullanılan yapı malzemesi,5,2024-08-06
5395,tellür,"atom numarası 52, atom ağırlığı 127,60, yoğunluğu 6,24 olan, 450 °c'de eriyen, mavimtırak beyaz renkte bir element (simgesi te)",6,2024-08-06
5396,arakçı,"araklayan, çalan (kimse)",6,2024-08-06
5397,şekvacı,şikâyetçi,7,2024-08-06
5398,firaklı,"üzüntülü, dokunaklı, içe işleyen",7,2024-08-06
5399,tektonik,parçalanıp dağılmış yer katmanlarının birbirleri ile olan ilgilerini araştıran yer bilimi kolu,8,2024-08-06
5400,haktanır,"herkesin hakkını gözeten (kimse), hakşinas",8,2024-08-06
5401,tehditsiz,"tehdidi bulunmayan, tehditten uzak",9,2024-08-06
5402,hipopotam,su aygırı,9,2024-08-06
5403,istenilmek,i̇steme işi yapılmak,10,2024-08-06
5404,mağduriyet,mağdurluk,10,2024-08-06
5405,defa,"kez, kere, sefer, yol",4,2024-08-07
5406,emen,"bağ çubuğu, ağaç veya sebze dikmek için açılan çukur",4,2024-08-07
5407,yahut,"veya, ya da",5,2024-08-07
5408,rütbe,"subay, astsubay ve polislerin sahip olduğu derece, mevki",5,2024-08-07
5409,aparat,herhangi bir aracın çeşitli amaçlarla kullanılmasını sağlayan parçaları,6,2024-08-07
5410,karsak,"köpekgillerden, soluk kahverengi, karnı beyaz tüylü, kısa kulaklı, postundan kürk yapılan bir tür memeli (vulpes corsac)",6,2024-08-07
5411,altıpas,"ceza sahası içinde kale direklerine 5,5 metre uzaklıkta, kale çizgisine dik çizilen çizgi ile kale çizgisi arasında kalan bölüm",7,2024-08-07
5412,gözünde,(o kimseye) göre,7,2024-08-07
5413,şipşirin,"çok sevimli, çok şirin, cana yakın",8,2024-08-07
5414,fanatizm,bağnazlık,8,2024-08-07
5415,çiğnemlik,"ağızda çiğnenecek miktarda olan, çiğnem",9,2024-08-07
5416,yıllanmak,üzerinden bir veya daha çok yıl geçmek,9,2024-08-07
5417,hariciyeci,dış siyaset ile uğraşan meslek adamı,10,2024-08-07
5418,baltalamak,balta ile kesmek,10,2024-08-07
5419,sabo,üzerinde deri vb. bant bulunan bir sandalet türü,4,2024-08-08
5420,sörf,özel kayma aracı ve yelkenlisi ile denizde yapılan bir spor türü,4,2024-08-08
